TEST ID,TEST DATE / UTC HOUR,GEO LATITUDE,GEO LONGITUDE,DOWNLOAD SPEED,UPLOAD SPEED,JITTER,LATENCY,PACKET LOSS,IPV6 SUPPORTED,DNSSEC SUPPORTED,TEST SERVER,browser_test_url,CONTRACTED DOWNLOAD SPEED,CONTRACTED UPLOAD SPEED,CONTRACTED DATA CAP,CONTRACTED MONTHLY COST,SERVICE TYPE,USER SATISFACTION,USER COMMENTS,HEATMAP_MUNICIPALITY
366,2015-05-20 10:01,53.631757,-110.030811,1.28,0.86,,,,FALSE,FALSE,Montreal,,,,,,,,,County of Vermilion River
451,2015-05-22 10:00,53.381155,-113.861499,9.15,0.9,,,,FALSE,FALSE,Toronto,,,,,,,,,Parkland County
460,2015-05-22 10:00,49.957702,-110.271767,0.54,0.58,,,,FALSE,TRUE,Toronto,,,,,,,,,Cypress County
1039,2015-05-20 10:00,53.474081,-112.951316,0.5,0.77,,,,FALSE,FALSE,Toronto,,,,,,,,,Strathcona County
1109,2015-05-19 10:00,51.575186,-112.869397,2.64,1.12,,,,FALSE,FALSE,Calgary,,,,,,,,,Starland County
1253,2015-05-20 10:00,50.950894,-114.570149,3.2,1.17,,,,FALSE,FALSE,Calgary,,,,,,,,,Rocky View County
1276,2015-05-20 10:00,53.176984,-112.611084,0.13,0.26,,,,FALSE,FALSE,Toronto,,,,,,,,,Camrose County
1637,2015-05-21 10:00,51.200757,-114.455971,6.31,2.15,,,,FALSE,TRUE,Calgary,,,,,,,,,Rocky View County
2053,2015-06-03 1:10,53.382523,-113.209053,0.96,0.53,,,,FALSE,FALSE,Calgary,,,,,,,,,Strathcona County
2217,2015-05-13 23:01,53.415443,-113.162757,0.24,0.23,,,,FALSE,FALSE,Calgary,,,,,,,,,Strathcona County
2231,2015-05-20 10:00,53.381155,-113.861499,8.52,0.88,,,,FALSE,FALSE,Calgary,,,,,,,,,Parkland County
2303,2015-05-24 10:00,50.915806,-114.278874,2.79,0.86,,,,FALSE,FALSE,Calgary,,,,,,,,,M.D. of Foothills No. 31
2339,2015-06-06 13:14,49.58229,-114.210881,1.85,0.43,,,,FALSE,FALSE,Calgary,,,,,,,,,M.D. of Pincher Creek No. 9
2341,2015-05-20 10:00,53.61314,-113.99899,0.43,0.77,,,,FALSE,FALSE,Calgary,,,,,,,,,Parkland County
2460,2015-06-11 14:50,49.58229,-114.210881,3.46,1.28,,,,FALSE,FALSE,Calgary,,,,,,,,,M.D. of Pincher Creek No. 9
2526,2015-05-25 10:00,53.381155,-113.861499,1.1,0.85,,,,FALSE,FALSE,Montreal,,,,,,,,,Parkland County
2939,2015-05-24 10:00,53.381155,-113.861499,1.72,0.89,,,,FALSE,FALSE,Montreal,,,,,,,,,Parkland County
3043,2015-06-01 2:29,52.467139,-113.114208,0.2,0.91,,,,FALSE,FALSE,Calgary,,,,,,,,,Lacombe County
3426,2015-05-20 10:00,52.159089,-112.695674,1.04,0.23,,,,FALSE,FALSE,Toronto,,,,,,,,,County of Stettler No. 6
3678,2015-05-22 10:00,53.381155,-113.861499,7.63,0.84,,,,FALSE,FALSE,Toronto,,,,,,,,,Parkland County
3685,2015-05-25 10:00,50.915806,-114.278874,0.23,0.44,,,,FALSE,FALSE,Calgary,,,,,,,,,M.D. of Foothills No. 31
3694,2015-05-25 10:00,50.915806,-114.278874,0.9,0.88,,,,FALSE,FALSE,Calgary,,,,,,,,,M.D. of Foothills No. 31
3778,2015-05-22 10:00,53.980658,-113.07231,2.33,0.95,,,,FALSE,FALSE,Calgary,,,,,,,,,Thorhild County
3969,2015-05-27 5:49,55.330361,-115.433671,7.15,3.76,,,,FALSE,FALSE,Toronto,,,,,,,,,Big Lakes County
4002,2015-05-24 10:00,51.239722,-114.496121,1.69,1.44,,,,FALSE,TRUE,Calgary,,,,,,,,,Rocky View County
4286,2015-05-20 10:00,53.670642,-113.492493,6.28,2.51,,,,FALSE,FALSE,Montreal,,,,,,,,,Sturgeon County
4327,2015-05-19 10:00,54.702428,-113.411953,2.72,0.77,,,,FALSE,FALSE,Calgary,,,,,,,,,Athabasca County
4512,2015-05-20 10:01,53.399064,-113.934732,2.76,1.02,,,,FALSE,FALSE,Calgary,,,,,,,,,Parkland County
4669,2015-05-21 10:00,51.062626,-114.304028,11.71,0.77,,,,FALSE,FALSE,Calgary,,,,,,,,,Rocky View County
4737,2015-05-21 10:00,53.381155,-113.861499,2.96,0.88,,,,FALSE,FALSE,Toronto,,,,,,,,,Parkland County
5263,2015-05-22 10:00,52.036775,-113.374644,2.44,1.12,,,,FALSE,TRUE,Calgary,,,,,,,,,Red Deer County
5507,2015-05-20 10:01,56.157531,-117.730815,0.37,0.33,,,,FALSE,FALSE,Calgary,,,,,,,,,M.D. of Peace No. 135
5703,2015-05-22 10:00,52.036775,-113.374644,2.75,0.91,,,,FALSE,TRUE,Calgary,,,,,,,,,Red Deer County
5716,2015-06-15 13:10,49.58229,-114.210881,2.49,1.07,,,,FALSE,FALSE,Calgary,,,,,,,,,M.D. of Pincher Creek No. 9
